filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0,ticker,filedateobj,prevfiledateobj,nextfiledateobj,stockprice0,stockprice1,stockpricefuture,marketprice0,marketprice1,marketpricefuture,stockreturn0,stockreturnfuture,marketreturn0,marketreturnfuture,beatmarket0,beatmarketfuture
1/23/2015,10/24/2014,4/24/2015,0.974498638,0.965262067,0.957384009,0.929698342,0.982207131,0.969112837,0.953703943,0.935482038,739,745,1317,589,788,1816,1817,2707,1502,1961,1882,1915,2816,1196,2054,72725,73572,110727,54107,85828,KLAC,1/23/2015,10/24/2014,4/24/2015,65.24,75.9,58.89,2051.820068,1964.579956,2117.689941,-0.151343907,-0.102401481,0.043448778,0.031598607,FALSE,FALSE
1/23/2015,10/3/2014,4/3/2015,0.79213215,0.726143804,0.769633792,0.757928331,0.88555518,0.829191015,0.866810689,0.857550024,2516,1076,614,630,1647,4199,1993,2331,2106,4939,5594,3140,2223,2284,5760,216660,118483,111400,111163,218385,LEN,1/23/2015,10/3/2014,4/3/2015,43.73,39.85,53.19,2051.820068,1967.900024,2066.959961,0.09291196,0.195836043,0.041760241,0.007351673,TRUE,TRUE
1/26/2015,10/23/2014,4/23/2015,0.966273822,0.953021806,0.95600111,0.971428121,0.979345321,0.964627692,0.960169702,0.976738566,730,723,1087,738,765,1722,1699,2540,2046,2140,1984,1933,3112,2185,2310,67260,65789,111034,67320,73934,MSFT,1/26/2015,10/23/2014,4/23/2015,47.01,45.02,43.34,2057.090088,1950.819946,2112.929932,0.04325351,-0.081284349,0.053042636,0.026783172,FALSE,FALSE
1/27/2015,11/18/2014,4/24/2015,0.983579362,0.968254372,0.969202073,0.955834316,0.990356213,0.970229411,0.971414908,0.952472951,350,385,404,942,393,980,1027,1092,2137,1066,1480,1520,1557,2709,1450,53174,55396,58079,106166,55344,DHI,1/27/2015,11/18/2014,4/24/2015,24.16,24.63,26.57,2029.550049,2051.800049,2117.689941,-0.019266839,0.095084387,-0.010903363,0.042511726,FALSE,TRUE
1/27/2015,10/24/2014,4/23/2015,0.724613976,0.786007459,0.780178855,0.826261009,0.770238974,0.816282394,0.82208899,0.874220785,851,531,1620,726,650,2488,1048,2292,1761,1913,2899,940,2164,1863,1412,75888,36835,99503,54750,49908,PG,1/27/2015,10/24/2014,4/23/2015,86.49,85.16,80.95,2029.550049,1964.579956,2112.929932,0.01549696,-0.06619712,0.032535658,0.04026146,FALSE,FALSE
1/27/2015,11/14/2014,4/28/2015,0.959235672,0.908205986,0.959374924,0.951106542,0.968500744,0.952087749,0.969853861,0.957554008,372,558,522,1361,596,906,1340,938,2570,838,1364,2038,1302,2855,1263,39768,50389,42231,108799,49042,SBUX,1/27/2015,11/14/2014,4/28/2015,88.34,78.12,50.61,2029.550049,2039.819946,2114.76001,0.1229469,-0.557043821,-0.005047424,0.041127218,TRUE,FALSE
1/28/2015,10/27/2014,4/28/2015,0.97302138,0.952092166,0.956368185,0.950629285,0.983495645,0.959881519,0.963359239,0.954304083,541,562,606,971,581,1298,1259,1314,1821,1255,1555,1408,1519,2365,1466,57976,56266,58550,95787,58404,AAPL,1/28/2015,10/27/2014,4/28/2015,115.31,105.11,130.56,2002.160034,1961.630005,2114.76001,0.092616733,0.124208737,0.020450852,0.054714721,TRUE,TRUE
1/28/2015,11/5/2014,4/22/2015,0.980260104,0.970809953,0.966518784,0.966562727,0.984499599,0.972930229,0.970117174,0.966475081,424,447,607,1042,532,1559,1561,2044,3126,1882,1507,1541,2293,2736,1868,53530,54237,68984,111387,59460,QCOM,1/28/2015,11/5/2014,4/22/2015,70.99,77.2,68.94,2002.160034,2023.569946,2107.959961,-0.083860435,-0.029302461,-0.010636637,0.051494022,FALSE,FALSE
1/28/2015,11/12/2014,4/23/2015,0.962031182,0.939019432,0.944227079,0.930637107,0.966404424,0.948160285,0.95276736,0.936895852,638,586,626,1831,295,1649,1711,1692,4232,1299,1571,1422,1496,4850,1424,62543,62323,64106,154859,53140,TEL,1/28/2015,11/12/2014,4/23/2015,67.45,61.56,68.75,2002.160034,2038.25,2112.929932,0.091374274,0.019090154,-0.017864982,0.053848963,TRUE,FALSE
1/29/2015,10/3/2014,4/2/2015,0.961747331,0.894483448,0.906594412,0.762704555,0.978714194,0.9138462,0.923592546,0.80973306,922,269,300,496,1192,2004,905,984,1705,2267,1934,1469,1631,2750,2467,99465,45179,50891,74829,112814,CCL,1/29/2015,10/3/2014,4/2/2015,44.88,39.58,47.97,2021.25,1967.900024,2066.959961,0.125668321,0.066583554,0.026749135,0.022362778,TRUE,TRUE
1/29/2015,10/30/2014,2/13/2015,0.977541,0.581373711,0.933982774,0.945945813,0.988708932,0.689535534,0.959728161,0.96881614,682,945,314,340,640,1694,3463,1111,1106,1710,2069,4917,1094,1181,2335,80178,93189,41862,48333,87071,FB,1/29/2015,10/30/2014,2/13/2015,78,74.11,75.74,2021.25,1994.650024,2096.98999,0.051158351,-0.029402404,0.013247524,0.036786847,TRUE,FALSE
1/29/2015,11/20/2014,4/30/2015,0.941973813,0.934773965,0.962408027,0.916490951,0.958957232,0.951936268,0.966240462,0.917712115,654,509,451,1739,309,1795,1869,1646,4716,1274,2596,2044,1748,4502,1422,75076,66937,63157,176512,49397,HOLX,1/29/2015,11/20/2014,4/30/2015,31.12,26.39,33.74,2021.25,2052.75,2085.51001,0.164865549,0.080833378,-0.015464226,0.031297303,TRUE,TRUE
